1 input_9_1_1 AGM6 Test Case.asc - no wind ' AGM6 ' Jan 22 2018 17:05:30
  0  0 81
time            lconv           vmach           pdynmc          VAEL1           
VAEL2           VAEL3           psiblx          thtblx          phiblx          
alppx           phipx           alphax          betax           ppx             
qqx             rrx             SBEL1           SBEL2           SBEL3           
dvbe            hbe             psivlx          thtvlx          anx             
ayx             vmass           thrust          fmasse          stmarg          
realq1          realq2          wnq             zetq            gavail          
gmax            trcond          epy             epz             thtpb           
psipb           ththb           phihb           EAHH1           EAHH2           
EAHH3           sigdpy          sigdpz          ehbe            EWBEB1          
EWBEB2          EWBEB3          EFSPB1          EFSPB2          EFSPB3          
EVBE1           EVBE2           EVBE3           ESTTC1          ESTTC2          
ESTTC3          ancomx          alcomx          all             ann             
psiobcx         thtobcx         wacl            phicomx         rrcomx          
dpx             dqx             drx             miss            MISS_P1         
MISS_P2         MISS_P3         dbt             psiplx          thtplx          
critmax         
0               0               30.1939         -44.9769        0.202431        
2.96201         4.35856         2.95345         0.225006        -0.301989       
1.78789         -0.929172       33339.8         9760.16         -99.7864        
373.635         99.7864         30.5153         -47.9319        1.06272         
-0.0815032      1110            0               250.005         0.757722        
0               0               6.49363         0.0745286       1.72682         
3               0               0.008982        -0.00664706     0               
0               0.0563004       3.05448         0               0.00588587      
0.00990074      0               0               5.21767         1.26273e-005    
4.05253e-006    -4.70483e-007   0.0112976       0.00348459      -1.39188e-006   
0.325339        -0.00258634     0.143823        14.2315         3.72035         
-10.5884        0.656492        -0.00186146     -0.00186146     0.656492        
0.883917        -12.6835        2               0               0               
-0.00144307     -1.66314        0.250488        0.176961        -0.17694        
-0.00270498     0               0.233756        0               0               
100             5               1               
3.002           0               0.929892        25029.9         0               
0               0               0               -5.6949         -0              
0.0393651       -174.582        -0.0387179      -0.00367243     0.00106698      
-1.92339        0.000884693     873.948         0.0122471       -6957.33        
290.58          6957.33         0.00185397      -5.65619        -0.00305815     
0.000349883     1360            11199.5         0.00242707      0.525898        
0               0               2.69367         0.0500994       2.24474         
2.24826         0               0               0               0               
0               0               0               0               0               
0               0               0               5.56545         1.60659e-005    
1.34314e-006    -1.21395e-005   0.0025842       -0.00354973     0.00421764      
-0.00384653     -0.00220516     0.00829081      4.81732         1.60204         
19.9392         1.41705         0.186056        0.186056        1.41705         
16.9536         -6.20802        2               0               0               
1.95219e-006    0.0152596       -0.00214676     0               0               
0               0               34334.2         0               0               
100             6               1               
79.222          0               1.21257         56216.3         0               
0               0               27.939          -31.6707        0.00661355      
0.830158        -110.455        -0.290127       -0.777798       0.156769        
-1.49702        0.23687         28958.8         7345.53         -4920.91        
389.073         4920.91         27.028          -31.3771        -0.0700469      
0.178444        1110            0               250.005         0.677443        
0               0               4.77171         0.0587161       2.77893         
3               0               -0.00733748     0.000799589     -0.21495        
0.0160083       0.21664         3.06777         0               -0.00017748     
-0.00621051     -0.0918329      0.00821138      3.12214         1.54902e-005    
2.67527e-007    -9.67554e-006   0.00238746      -0.00317042     0.0035439       
0.233907        -0.406678       0.175403        13.688          -13.9925        
24.5901         -2.98721        0.276746        0.934827        -10.0905        
1.13781         -12.8505        2               0               0               
4.88809e-005    0.196881        -0.40171        0               0               
0               0               6886.34         0               0               
100             6               1               
97.438          2               1.10061         84900.6         0               
0               0               29.8709         -45.3567        0.268897        
2.96127         4.57422         2.95185         0.236057        -0.340366       
1.95028         -1.13885        33340           9760.21         -99.9872        
374.104         99.9872         30.2065         -48.3105        1.06532         
